periodo,provincia,provincia_id,efectores_pagos,monto_ms
2012-02-01,Ciudad de Buenos Aires,02,2178.0,96014.23
2012-02-01,Buenos Aires,06,157769.0,8162193.7
2012-02-01,Catamarca,10,1172.0,75075.0
2012-02-01,Córdoba,14,3143.0,170520.0
2012-02-01,Corrientes,18,6342.0,420245.0
2012-02-01,Chaco,22,5989.0,245910.0
2012-02-01,Chubut,26,557.0,29855.0
2012-02-01,Entre Ríos,30,7314.0,375515.0
2012-02-01,Formosa,34,3007.0,144760.0
2012-02-01,Jujuy,38,3948.0,174351.5
2012-02-01,La Pampa,42,1004.0,54250.0
2012-02-01,La Rioja,46,2113.0,96915.0
2012-02-01,Mendoza,50,4310.0,222312.409999999
2012-02-01,Misiones,54,13575.0,566965.0
2012-02-01,Neuquén,58,737.0,32935.0
2012-02-01,Río Negro,62,4723.0,242655.0
2012-02-01,Salta,66,2343.0,105000.0
2012-02-01,San Juan,70,2307.0,120050.0
2012-02-01,San Luis,74,573.0,35350.0
2012-02-01,Santa Cruz,78,63.0,2765.0
2012-02-01,Santa Fe,82,4578.0,265265.0
2012-02-01,Santiago del Estero,86,2696.0,148890.0
2012-02-01,Tucumán,90,15023.0,760165.0
2012-02-01,Tierra del Fuego,94,93.0,5355.0
2012-03-01,Ciudad de Buenos Aires,02,2091.0,92770.56
2012-03-01,Buenos Aires,06,147088.0,7641250.52999999
2012-03-01,Catamarca,10,1217.0,76160.0
2012-03-01,Córdoba,14,3148.0,169820.0
2012-03-01,Corrientes,18,6532.0,436590.0
2012-03-01,Chaco,22,5994.0,245630.0
2012-03-01,Chubut,26,574.0,30800.0
2012-03-01,Entre Ríos,30,7400.0,380065.0
2012-03-01,Formosa,34,2962.0,142555.0
2012-03-01,Jujuy,38,3845.0,169750.0
2012-03-01,La Pampa,42,997.0,53935.0
2012-03-01,La Rioja,46,2142.0,98630.0
2012-03-01,Mendoza,50,4364.0,224142.13
2012-03-01,Misiones,54,13890.0,580195.0
2012-03-01,Neuquén,58,752.0,33061.91
2012-03-01,Río Negro,62,4658.0,238560.0
2012-03-01,Salta,66,2356.0,105595.0
2012-03-01,San Juan,70,2244.0,117005.0
2012-03-01,San Luis,74,563.0,34755.0
2012-03-01,Santa Cruz,78,61.0,2730.0
2012-03-01,Santa Fe,82,4634.0,270375.0
2012-03-01,Santiago del Estero,86,2715.0,148225.0
2012-03-01,Tucumán,90,14997.0,757918.0
2012-03-01,Tierra del Fuego,94,91.0,5250.0
2012-04-01,Ciudad de Buenos Aires,02,1588.0,72507.0
2012-04-01,Buenos Aires,06,142245.0,7428158.26
2012-04-01,Catamarca,10,1320.0,85190.0
2012-04-01,Córdoba,14,3021.0,161489.0
2012-04-01,Corrientes,18,6515.0,439355.0
2012-04-01,Chaco,22,5911.0,241395.0
2012-04-01,Chubut,26,574.0,31885.0
2012-04-01,Entre Ríos,30,7240.0,373135.0
2012-04-01,Formosa,34,2828.0,136150.0
2012-04-01,Jujuy,38,3583.0,161280.0
2012-04-01,La Pampa,42,973.0,53620.0
2012-04-01,La Rioja,46,2126.0,101605.0
2012-04-01,Mendoza,50,3890.0,207375.0
2012-04-01,Misiones,54,13324.0,561715.0
2012-04-01,Neuquén,58,698.0,31220.0
2012-04-01,Río Negro,62,4500.0,231140.0
2012-04-01,Salta,66,2062.0,95445.0
2012-04-01,San Juan,70,2185.0,113365.0
2012-04-01,San Luis,74,556.0,35210.0
2012-04-01,Santa Cruz,78,55.0,2450.0
2012-04-01,Santa Fe,82,4494.0,264005.0
2012-04-01,Santiago del Estero,86,2737.0,152460.0
2012-04-01,Tucumán,90,14853.0,755650.0
2012-04-01,Tierra del Fuego,94,90.0,5215.0
2012-05-01,Ciudad de Buenos Aires,02,1817.0,82845.0
2012-05-01,Buenos Aires,06,144094.0,7510702.69
2012-05-01,Catamarca,10,1406.0,91385.0
2012-05-01,Córdoba,14,2994.0,159460.0
2012-05-01,Corrientes,18,6508.0,440825.0
2012-05-01,Chaco,22,5920.0,241850.0
2012-05-01,Chubut,26,566.0,31185.0
2012-05-01,Entre Ríos,30,7321.0,377650.0
2012-05-01,Formosa,34,2910.0,140490.0
2012-05-01,Jujuy,38,3834.0,171290.0
2012-05-01,La Pampa,42,1007.0,54565.0
2012-05-01,La Rioja,46,2149.0,101395.0
2012-05-01,Mendoza,50,3970.0,210455.0
2012-05-01,Misiones,54,13798.0,585584.929999999
2012-05-01,Neuquén,58,710.0,31255.0
2012-05-01,Río Negro,62,4614.0,236950.0
2012-05-01,Salta,66,2311.0,105140.0
2012-05-01,San Juan,70,2194.0,113470.0
2012-05-01,San Luis,74,561.0,34965.0
2012-05-01,Santa Cruz,78,64.0,2800.0
2012-05-01,Santa Fe,82,4476.0,265790.0
2012-05-01,Santiago del Estero,86,2774.0,146580.0
2012-05-01,Tucumán,90,14507.0,743365.0
2012-05-01,Tierra del Fuego,94,93.0,5250.0
2012-06-01,Ciudad de Buenos Aires,02,1829.0,82645.0
2012-06-01,Buenos Aires,06,142854.0,7447808.41
2012-06-01,Catamarca,10,1529.0,96705.0
2012-06-01,Córdoba,14,3084.0,164009.0
2012-06-01,Corrientes,18,6574.0,442330.0
2012-06-01,Chaco,22,6131.0,250355.0
2012-06-01,Chubut,26,609.0,33775.0
2012-06-01,Entre Ríos,30,7447.0,389585.0
2012-06-01,Formosa,34,3025.0,148750.0
2012-06-01,Jujuy,38,3842.0,172095.0
2012-06-01,La Pampa,42,1049.0,57260.0
2012-06-01,La Rioja,46,2041.0,98665.0
2012-06-01,Mendoza,50,4382.0,228445.0
2012-06-01,Misiones,54,13774.0,587580.0
2012-06-01,Neuquén,58,746.0,33635.0
2012-06-01,Río Negro,62,4721.0,242760.0
2012-06-01,Salta,66,2323.0,105245.0
2012-06-01,San Juan,70,2173.0,113050.0
2012-06-01,San Luis,74,566.0,35841.0
2012-06-01,Santa Cruz,78,62.0,2765.0
2012-06-01,Santa Fe,82,4848.0,280805.0
2012-06-01,Santiago del Estero,86,2786.0,150990.0
2012-06-01,Tucumán,90,14763.0,753480.0
2012-06-01,Tierra del Fuego,94,91.0,5320.0
2012-07-01,Ciudad de Buenos Aires,02,2183.0,140835.0
2012-07-01,Buenos Aires,06,143952.0,10718721.86
2012-07-01,Catamarca,10,1691.0,148340.0
2012-07-01,Córdoba,14,3219.0,245244.0
2012-07-01,Corrientes,18,6786.0,655130.0
2012-07-01,Chaco,22,5581.0,330196.0
2012-07-01,Chubut,26,629.0,49490.0
2012-07-01,Entre Ríos,30,7306.0,545325.0
2012-07-01,Formosa,34,3108.0,217600.0
2012-07-01,Jujuy,38,3837.0,248344.4
2012-07-01,La Pampa,42,1126.0,86350.0
2012-07-01,La Rioja,46,1884.0,134940.0
2012-07-01,Mendoza,50,4200.0,318475.0
2012-07-01,Misiones,54,14111.0,871493.0
2012-07-01,Neuquén,58,841.0,53840.0
2012-07-01,Río Negro,62,4441.0,327075.0
2012-07-01,Salta,66,1960.0,135854.25
2012-07-01,San Juan,70,2206.0,165425.0
2012-07-01,San Luis,74,590.0,52053.0
2012-07-01,Santa Cruz,78,57.0,3615.0
2012-07-01,Santa Fe,82,5214.0,432570.0
2012-07-01,Santiago del Estero,86,2701.0,212475.0
2012-07-01,Tucumán,90,14703.0,1082695.0
2012-07-01,Tierra del Fuego,94,92.0,7465.0
2012-08-01,Ciudad de Buenos Aires,02,2062.0,132393.89
2012-08-01,Buenos Aires,06,141877.0,10612708.75
2012-08-01,Catamarca,10,3124.0,230075.0
2012-08-01,Córdoba,14,3146.0,243920.0
2012-08-01,Corrientes,18,6952.0,671638.0
2012-08-01,Chaco,22,6198.0,361445.0
2012-08-01,Chubut,26,644.0,50075.0
2012-08-01,Entre Ríos,30,7419.0,560125.0
2012-08-01,Formosa,34,3197.0,226275.0
2012-08-01,Jujuy,38,3904.0,248654.65
2012-08-01,La Pampa,42,1221.0,94095.0
2012-08-01,La Rioja,46,1942.0,139050.0
2012-08-01,Mendoza,50,4461.0,333865.64
2012-08-01,Misiones,54,14389.0,905390.0
2012-08-01,Neuquén,58,845.0,53782.25
2012-08-01,Río Negro,62,4929.0,361455.0
2012-08-01,Salta,66,2021.0,142695.0
2012-08-01,San Juan,70,2422.0,179395.0
2012-08-01,San Luis,74,600.0,52210.0
2012-08-01,Santa Cruz,78,64.0,4050.0
2012-08-01,Santa Fe,82,5206.0,435270.56
2012-08-01,Santiago del Estero,86,2775.0,216780.0
2012-08-01,Tucumán,90,14635.0,1081410.0
2012-08-01,Tierra del Fuego,94,92.0,7700.0
2012-09-01,Ciudad de Buenos Aires,02,2231.0,144049.65
2012-09-01,Buenos Aires,06,142162.0,106605385.0
2012-09-01,Catamarca,10,3162.0,230745.0
2012-09-01,Córdoba,14,3362.0,258810.0
2012-09-01,Corrientes,18,7070.0,684618.2
2012-09-01,Chaco,22,6360.0,371340.0
2012-09-01,Chubut,26,665.0,51500.0
2012-09-01,Entre Ríos,30,7474.0,565615.0
2012-09-01,Formosa,34,3209.0,226050.0
2012-09-01,Jujuy,38,3929.0,254225.0
2012-09-01,La Pampa,42,1274.0,96600.0
2012-09-01,La Rioja,46,1979.0,143600.0
2012-09-01,Mendoza,50,4547.0,340760.0
2012-09-01,Misiones,54,14472.0,910693.59
2012-09-01,Neuquén,58,879.0,57010.0
2012-09-01,Río Negro,62,4987.0,365530.0
2012-09-01,Salta,66,2255.0,157365.0
2012-09-01,San Juan,70,2455.0,179850.0
2012-09-01,San Luis,74,649.0,54465.0
2012-09-01,Santa Cruz,78,70.0,4350.0
2012-09-01,Santa Fe,82,5360.0,446750.0
2012-09-01,Santiago del Estero,86,2706.0,214515.0
2012-09-01,Tucumán,90,15089.0,1135763.77
2012-09-01,Tierra del Fuego,94,94.0,7650.0
2012-10-01,Ciudad de Buenos Aires,02,2396.0,154240.0
2012-10-01,Buenos Aires,06,143351.0,10718783.7
2012-10-01,Catamarca,10,3197.0,232665.0
2012-10-01,Córdoba,14,3534.0,269930.0
2012-10-01,Corrientes,18,7260.0,696291.5
2012-10-01,Chaco,22,5311.0,317574.25
2012-10-01,Chubut,26,693.0,53150.0
2012-10-01,Entre Ríos,30,7638.0,577891.7
2012-10-01,Formosa,34,3434.0,241700.0
2012-10-01,Jujuy,38,3963.0,256828.85
2012-10-01,La Pampa,42,1323.0,98550.0
2012-10-01,La Rioja,46,1997.0,144440.0
2012-10-01,Mendoza,50,4913.0,364030.0
2012-10-01,Misiones,54,14239.0,900396.25
2012-10-01,Neuquén,58,952.0,60415.0
2012-10-01,Río Negro,62,5156.0,379121.68
2012-10-01,Salta,66,2218.0,157600.0
2012-10-01,San Juan,70,2428.0,177750.0
2012-10-01,San Luis,74,685.0,57400.0
2012-10-01,Santa Cruz,78,60.0,3700.0
2012-10-01,Santa Fe,82,5648.0,463500.0
2012-10-01,Santiago del Estero,86,2722.0,216515.0
2012-10-01,Tucumán,90,14931.0,1126240.2
2012-10-01,Tierra del Fuego,94,98.0,7800.0
2012-11-01,Ciudad de Buenos Aires,02,2289.0,149895.0
2012-11-01,Buenos Aires,06,142287.0,10666532.36
2012-11-01,Catamarca,10,3186.0,231758.13
2012-11-01,Córdoba,14,3650.0,278900.0
2012-11-01,Corrientes,18,7304.0,704309.5
2012-11-01,Chaco,22,6452.0,378165.0
2012-11-01,Chubut,26,693.0,53100.0
2012-11-01,Entre Ríos,30,7691.0,581365.0
2012-11-01,Formosa,34,3340.0,237800.0
2012-11-01,Jujuy,38,3886.0,252165.0
2012-11-01,La Pampa,42,1331.0,99700.0
2012-11-01,La Rioja,46,1992.0,145100.0
2012-11-01,Mendoza,50,4883.0,364430.0
2012-11-01,Misiones,54,13752.0,881750.0
2012-11-01,Neuquén,58,929.0,58715.0
2012-11-01,Río Negro,62,5200.0,382374.37
2012-11-01,Salta,66,2177.0,153800.0
2012-11-01,San Juan,70,2523.0,185800.0
2012-11-01,San Luis,74,673.0,56500.0
2012-11-01,Santa Cruz,78,51.0,3200.0
2012-11-01,Santa Fe,82,5637.0,460950.0
2012-11-01,Santiago del Estero,86,2721.0,216515.0
2012-11-01,Tucumán,90,14237.0,1080550.0
2012-11-01,Tierra del Fuego,94,93.0,6950.0
2012-12-01,Ciudad de Buenos Aires,02,2356.0,153069.86
2012-12-01,Buenos Aires,06,142240.0,10692424.75
2012-12-01,Catamarca,10,3288.0,239900.0
2012-12-01,Córdoba,14,3739.0,286364.0
2012-12-01,Corrientes,18,7025.0,676791.5
2012-12-01,Chaco,22,6466.0,386565.0
2012-12-01,Chubut,26,718.0,54400.0
2012-12-01,Entre Ríos,30,7653.0,575900.0
2012-12-01,Formosa,34,3363.0,241000.0
2012-12-01,Jujuy,38,3980.0,258114.85
2012-12-01,La Pampa,42,1319.0,97550.0
2012-12-01,La Rioja,46,2002.0,145550.0
2012-12-01,Mendoza,50,4950.0,366226.0
2012-12-01,Misiones,54,14018.0,903461.169999999
2012-12-01,Neuquén,58,983.0,63700.0
2012-12-01,Río Negro,62,5260.0,386180.0
2012-12-01,Salta,66,2190.0,157150.0
2012-12-01,San Juan,70,2414.0,179550.0
2012-12-01,San Luis,74,916.0,69400.0
2012-12-01,Santa Cruz,78,56.0,3300.0
2012-12-01,Santa Fe,82,5647.0,466450.0
2012-12-01,Santiago del Estero,86,2669.0,212315.0
2012-12-01,Tucumán,90,14181.0,1080450.0
2012-12-01,Tierra del Fuego,94,35.0,2050.0
2013-01-01,Ciudad de Buenos Aires,02,2476.0,160703.25
2013-01-01,Buenos Aires,06,135274.0,10181796.44
2013-01-01,Catamarca,10,3303.0,244350.0
2013-01-01,Córdoba,14,4114.0,3108989.0
2013-01-01,Corrientes,18,7303.0,708342.7
2013-01-01,Chaco,22,6515.0,391500.0
2013-01-01,Chubut,26,763.0,57850.0
2013-01-01,Entre Ríos,30,7854.0,591098.4
2013-01-01,Formosa,34,3478.0,245050.0
2013-01-01,Jujuy,38,4443.0,280965.0
2013-01-01,La Pampa,42,1377.0,103450.0
2013-01-01,La Rioja,46,2120.0,150600.0
2013-01-01,Mendoza,50,5399.0,396325.0
2013-01-01,Misiones,54,14027.0,913700.0
2013-01-01,Neuquén,58,984.0,63950.0
2013-01-01,Río Negro,62,5361.0,395128.25
2013-01-01,Salta,66,2458.0,175050.0
2013-01-01,San Juan,70,2289.0,168350.0
2013-01-01,San Luis,74,952.0,71150.0
2013-01-01,Santa Cruz,78,55.0,3300.0
2013-01-01,Santa Fe,82,6072.0,493400.0
2013-01-01,Santiago del Estero,86,2777.0,220600.0
2013-01-01,Tucumán,90,14662.0,1107450.0
2013-01-01,Tierra del Fuego,94,93.0,5500.0
2013-02-01,Ciudad de Buenos Aires,02,2559.0,166150.0
2013-02-01,Buenos Aires,06,136342.0,10262000.4799999
2013-02-01,Catamarca,10,3259.0,244689.0
2013-02-01,Córdoba,14,4108.0,310395.0
2013-02-01,Corrientes,18,7377.0,711149.45
2013-02-01,Chaco,22,6512.0,392500.0
2013-02-01,Chubut,26,743.0,56100.0
2013-02-01,Entre Ríos,30,7791.0,584649.75
2013-02-01,Formosa,34,3492.0,248200.0
2013-02-01,Jujuy,38,4329.0,276800.0
2013-02-01,La Pampa,42,1423.0,106265.0
2013-02-01,La Rioja,46,2071.0,147150.0
2013-02-01,Mendoza,50,5506.0,401200.0
2013-02-01,Misiones,54,14421.0,937975.0
2013-02-01,Neuquén,58,1024.0,65465.0
2013-02-01,Río Negro,62,5453.0,399537.77
2013-02-01,Salta,66,2482.0,178850.0
2013-02-01,San Juan,70,2269.0,168900.0
2013-02-01,San Luis,74,932.0,69350.0
2013-02-01,Santa Cruz,78,60.0,3600.0
2013-02-01,Santa Fe,82,6353.0,513450.0
